Timestamp (ns),0x6a25 Range to 0x6f58 (mm),0x6a25 RSS to 0x6f58 (dB),0x6a25 Range to 0x6a5d (mm),0x6a25 RSS to 0x6a5d (dB),0x6a25 Range to 0x6a26 (mm),0x6a25 RSS to 0x6a26 (dB),0x6a25 Range to 0x6f61 (mm),0x6a25 RSS to 0x6f61 (dB),Timestamp (ns),0x6f58 Range to 0x6a5d (mm),0x6f58 RSS to 0x6a5d (dB),0x6f58 Range to 0x6a25 (mm),0x6f58 RSS to 0x6a25 (dB),0x6f58 Range to 0x6a26 (mm),0x6f58 RSS to 0x6a26 (dB),0x6f58 Range to 0x6f61 (mm),0x6f58 RSS to 0x6f61 (dB)
1595476447544856027, , , , , , ,881,-81,1595476447551009193, , , , , , ,707,-87,,
1595476447551093915, , , , , , , , ,1595476447557194638,648,-80, , , , , , ,,
1595476447563359378, , ,894,-80, , , , ,1595476447563385823, , , , , , , , ,,
1595476447569582527, , , , ,1259,-80, , ,1595476447575670249, , , , ,1212,-82, , ,,
1595476447581964545, , , , , , ,889,-82,1595476447588141119, , , , , , ,717,-89,,
1595476447588228027, , , , , , , , ,1595476447594353619,620,-80, , , , , , ,,
1595476447601285601, , ,941,-80, , , , ,1595476447601314730, , , , , , , , ,,
1595476447607501434, , , , ,1282,-81, , ,1595476447613537434, , , , ,1245,-85, , ,,
1595476447619728267, , , , , , ,884,-81,1595476447625838675, , , , , , ,717,-86,,
1595476447625922897, , , , , , , , ,1595476447632029064,634,-80, , , , , , ,,
1595476447638186008, , ,898,-80, , , , ,1595476447638211360, , , , , , , , ,,
1595476447644388249, , , , ,1259,-81, , ,1595476447650747249, , , , ,1273,-83, , ,,
1595476447657383897, , , , , , ,870,-81,1595476447663552286, , , , , , ,712,-86,,
1595476447663638564, , , , , , , , ,1595476447669814712,634,-80, , , , , , ,,
1595476447676040008, , ,903,-80, , , , ,1595476447676067008, , , , , , , , ,,
1595476447682195489, , , , ,1240,-81, , ,1595476447688534212, , , , ,1259,-82, , ,,
1595476447694994415, , , , , , ,908,-81,1595476447701287619, , , , , , ,726,-86,,
1595476447701395064, , , , , , , , ,1595476447707702730,611,-80, , , , , , ,,
1595476447713973767, , ,867,-80, , , , ,1595476447714000286, , , , , , , , ,,
1595476447720188675, , , , ,1231,-81, , ,1595476447726286138, , , , ,1250,-82, , ,,
1595476447732485193, , , , , , ,889,-82,1595476447738743508, , , , , , ,693,-85,,
1595476447738825360, , , , , , , , ,1595476447745248119,639,-80, , , , , , ,,
1595476447751933119, , ,884,-80, , , , ,1595476447751962841, , , , , , , , ,,
