,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,
Timestamp (ns),Accel_x (mg), Accel_y (mg), Accel_z (mg),Gyro_x (deg/s), Gyro_y (deg/s), Gyro_z (deg/s),Mag_x (uT), Mag_y (uT), Mag_z (uT),Quat_w, Quat_x, Quat_y, Quat_z,Pressure (Pa),
1594830715177705134,-14.0,-65.0,949.0,0.0625,0.0625,0.0625,-22.75,33.0625,-54.875,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
1594830715193522831,-14.0,-66.0,951.0,0.0625,0.125,0.125,-22.75,33.375,-56.0625,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
1594830715208438181,-14.0,-65.0,948.0,0.0625,0.0625,0.125,-22.75,33.375,-56.0625,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
1594830715222644810,-15.0,-65.0,952.0,-0.125,0.0625,0.0,-22.75,33.375,-56.0625,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
1594830715236977626,-12.0,-64.0,949.0,-0.125,-0.0625,-0.125,-22.75,33.375,-56.0625,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
1594830715252250363,-11.0,-65.0,952.0,0.125,-0.1875,0.0,-22.375,33.375,-54.5,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
1594830715267417692,-14.0,-67.0,949.0,-0.0625,0.0625,-0.125,-22.375,33.375,-54.5,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
1594830715282212064,-14.0,-67.0,950.0,0.125,0.25,-0.0625,-22.375,33.375,-54.5,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
1594830715296170059,-14.0,-65.0,950.0,0.25,0.125,-0.0625,-22.375,32.6875,-54.5,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
1594830715313405675,-13.0,-65.0,947.0,-0.0625,0.0,0.0,-22.375,32.6875,-54.5,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
1594830715331006954,-12.0,-63.0,950.0,-0.125,0.25,-0.125,-22.375,32.6875,-54.5,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
1594830715344332671,-13.0,-65.0,950.0,0.0,0.125,0.0625,-22.0625,31.875,-54.875,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
1594830715358773939,-13.0,-65.0,951.0,0.125,0.3125,0.125,-22.0625,31.875,-54.875,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101698.5,
1594830715372286479,-12.0,-67.0,948.0,0.0,0.0625,-0.125,-22.0625,31.875,-54.875,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715386319970,-15.0,-64.0,952.0,0.0625,0.0625,-0.125,-22.0625,31.875,-54.875,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715399890249,-14.0,-65.0,950.0,0.0625,0.0,0.0625,-22.375,32.25,-54.875,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715413551809,-12.0,-63.0,950.0,0.0,0.0625,-0.0625,-22.375,32.25,-54.875,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715426418603,-11.0,-64.0,950.0,-0.0625,0.25,0.0625,-22.375,32.25,-54.875,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715439564689,-11.0,-64.0,950.0,0.0625,0.0625,0.0625,-22.375,32.25,-54.875,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715452777750,-13.0,-66.0,950.0,0.0,-0.0625,-0.125,-22.75,32.25,-54.875,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715466067013,-14.0,-65.0,950.0,0.125,0.0,-0.125,-22.75,32.25,-54.875,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715479223008,-15.0,-65.0,950.0,0.125,-0.125,0.0,-22.75,32.25,-54.875,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715492417043,-14.0,-64.0,950.0,-0.125,-0.125,0.0,-22.0625,33.375,-54.5,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715505403830,-13.0,-64.0,950.0,-0.0625,0.0625,-0.0625,-22.0625,33.375,-54.5,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715518397106,-11.0,-65.0,950.0,-0.0625,0.0,0.0,-22.0625,33.375,-54.5,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715531535928,-11.0,-65.0,948.0,0.0625,-0.0625,0.0,-22.0625,33.375,-54.5,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715544544984,-14.0,-64.0,951.0,0.0,0.125,0.125,-23.1875,32.6875,-54.0625,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715557280180,-15.0,-65.0,951.0,-0.0625,0.1875,-0.0625,-23.1875,32.6875,-54.0625,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715570357992,-16.0,-63.0,953.0,-0.0625,-0.125,-0.0625,-23.1875,32.6875,-54.0625,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715583380642,-15.0,-64.0,948.0,-0.0625,0.0,-0.0625,-23.1875,32.6875,-54.0625,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715596994030,-12.0,-65.0,950.0,0.0,0.0,0.0,-23.1875,32.6875,-54.0625,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715611329699,-13.0,-63.0,951.0,0.0,0.0,0.0,-22.75,33.0625,-55.25,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715625374921,-13.0,-66.0,950.0,0.0,0.0625,-0.125,-22.75,33.0625,-55.25,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715638968606,-14.0,-65.0,947.0,0.0,0.125,0.0625,-22.75,33.0625,-55.25,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715654793724,-14.0,-65.0,952.0,-0.0625,0.0625,-0.0625,-21.75,32.25,-55.6875,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715674426494,-13.0,-63.0,950.0,-0.0625,0.1875,0.0,-21.75,32.25,-55.6875,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715691596718,-13.0,-64.0,950.0,-0.0625,0.375,-0.125,-21.75,32.25,-55.6875,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715706597010,-14.0,-63.0,951.0,0.1875,0.0625,0.0,-22.75,31.875,-55.25,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715720797299,-13.0,-67.0,950.0,0.0625,0.125,-0.0625,-22.75,31.875,-55.25,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715735296718,-14.0,-66.0,949.0,0.0625,0.125,-16.0,-22.75,31.875,-55.25,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101697.5,
1594830715750501044,-15.0,-63.0,950.0,0.0,0.125,-0.0625,-22.75,31.875,-55.25,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101702.75,
1594830715765480558,-15.0,-65.0,950.0,0.0,-0.125,0.125,-22.0625,32.6875,-54.5,0.9993896484375,-0.035400390625,0.00250244140625,0.0,101702.75,
