,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,
Timestamp (ns),Accel_x (mg), Accel_y (mg), Accel_z (mg),Gyro_x (deg/s), Gyro_y (deg/s), Gyro_z (deg/s),Mag_x (uT), Mag_y (uT), Mag_z (uT),Quat_w, Quat_x, Quat_y, Quat_z,Pressure (Pa),Range to 0x6a25 (mm),RSS to 0x6a25 (dB),
1594838228777273320,24.0,-69.0,962.0,0.0625,0.1875,-0.0625,11.25,-5.0625,-38.0625,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101651.5,131072,0,
1594838228810549259,24.0,-68.0,961.0,0.0,-0.125,-0.125,10.5625,-5.375,-38.875,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101651.5,131072,0,
1594838228838840139,25.0,-70.0,959.0,0.125,-0.0625,0.0,10.5625,-5.375,-38.875,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101651.5,131072,0,
1594838228871115116,22.0,-69.0,961.0,-0.125,0.0625,-0.0625,10.5625,-4.6875,-36.875,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101651.5,131072,0,
1594838228902338098,24.0,-71.0,963.0,-0.125,0.0,0.0,10.5625,-4.6875,-36.875,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101651.5,131072,0,
1594838228928860562,23.0,-70.0,959.0,-0.0625,-0.0625,-0.0625,10.1875,-4.6875,-38.875,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101651.5,131072,0,
1594838228953277330,25.0,-67.0,961.0,-0.0625,-0.125,0.0,10.1875,-4.6875,-38.875,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101651.5,131072,0,
1594838228977473898,21.0,-69.0,959.0,-0.125,0.0,0.0,11.25,-5.375,-38.0625,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101651.5,131072,0,
1594838229005764850,23.0,-72.0,960.0,0.1875,-0.25,0.0625,10.875,-4.6875,-37.6875,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101651.5,131072,0,
1594838229029672668,23.0,-67.0,959.0,-0.0625,0.0,0.0625,10.875,-4.6875,-37.6875,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101657.75,131072,0,
1594838229053042824,22.0,-68.0,960.0,0.1875,-0.0625,0.0,10.875,-4.6875,-37.6875,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101657.75,131072,0,
1594838229078858094,22.0,-70.0,959.0,0.0625,-0.125,-0.125,10.5625,-4.6875,-37.6875,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101657.75,131072,0,
1594838229101283562,23.0,-69.0,959.0,0.0,0.125,0.0,10.5625,-4.6875,-37.6875,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101657.75,131072,0,
1594838229125007024,22.0,-70.0,962.0,0.0625,-0.0625,0.125,10.5625,-5.375,-38.875,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101657.75,131072,0,
1594838229150242488,22.0,-70.0,963.0,0.0625,0.1875,-0.0625,10.5625,-5.375,-38.875,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101657.75,131072,0,
1594838229177703962,24.0,-69.0,960.0,0.0625,0.0625,-0.125,10.1875,-4.6875,-39.25,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101657.75,131072,0,
1594838229209933834,25.0,-70.0,960.0,-0.125,0.4375,0.0625,10.5625,-4.25,-38.0625,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101657.75,131072,0,
1594838229249472140,22.0,-68.0,961.0,0.125,0.0625,0.0625,10.5625,-4.25,-38.0625,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101657.75,131072,0,
1594838229283162692,23.0,-69.0,962.0,-0.0625,0.0625,-0.0625,10.5625,-4.6875,-38.0625,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101657.75,131072,0,
1594838229315887656,22.0,-69.0,962.0,0.0,-0.125,15.9375,10.5625,-3.5625,-39.25,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101657.75,131072,0,
1594838229351739493,24.0,-71.0,964.0,0.125,0.0,0.0,10.875,-4.6875,-37.6875,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101657.75,131072,0,
1594838229382201585,24.0,-69.0,961.0,-0.1875,0.3125,0.0,10.875,-4.6875,-37.6875,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101657.75,131072,0,
1594838229414558324,23.0,-71.0,962.0,0.0625,0.0625,-0.125,11.5625,-5.375,-38.875,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101658.0,131072,0,
1594838229449079244,23.0,-70.0,961.0,-0.1875,0.0,0.0,11.5625,-5.375,-38.875,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101658.0,131072,0,
1594838229475636680,24.0,-70.0,961.0,-0.125,0.1875,-0.125,11.25,-5.375,-37.25,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101658.0,131072,0,
1594838229501248651,23.0,-68.0,961.0,0.1875,0.0,-0.125,11.25,-5.375,-37.25,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101658.0,131072,0,
1594838229525671805,22.0,-69.0,958.0,0.0625,-0.0625,-0.0625,10.875,-4.6875,-37.6875,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101658.0,131072,0,
1594838229551073598,21.0,-69.0,958.0,-0.125,0.0625,0.0625,10.875,-4.6875,-37.6875,0.9994015381030621,-0.030029654131348883,-0.017090047066621313,-0.001647968824281341,101658.0,131072,0,
