,0x6a5d,0x6a5d,0x6a5d,0x6a5d,0x6a5d,0x6a5d,0x6a26,0x6a26,0x6a26,0x6a26,0x6a26,0x6a26,
Timestamp (ns),Range to 0x6a26 (mm),RSS to 0x6a26 (dB),Range to 0x6a7b (mm),RSS to 0x6a7b (dB),Range to 0x6a25 (mm),RSS to 0x6a25 (dB),Range to 0x6a7b (mm),RSS to 0x6a7b (dB),Range to 0x6a5d (mm),RSS to 0x6a5d (dB),Range to 0x6a25 (mm),RSS to 0x6a25 (dB),
1594783371447719791,,,,,,, , , , ,1240,-84,
1594783371454327068, , ,974,-83, , ,
1594783371460527272, , , , ,1049,-87,
1594783371466686309,,,,,,,1030,-83, , , , ,
1594783371472809642,,,,,,, , , , ,1297,-83,
1594783371479209846, , ,1011,-83, , ,
1594783371485390679, , , , ,1053,-86,
1594783371491578865,,,,,,,1137,-84, , , , ,
1594783371497647791,,,,,,, , , , ,1278,-83,
1594783371503961217, , ,955,-83, , ,
1594783371509977791, , , , ,1053,-87,
1594783371516479328,,,,,,,1095,-86, , , , ,
1594783371523543642,,,,,,, , , , ,1282,-82,
1594783371530028309, , ,1011,-82, , ,
1594783371536439513, , , , ,1025,-88,
1594783371542441679,,,,,,,1119,-86, , , , ,
1594783371548666994,,,,,,, , , , ,1371,-82,
1594783371554955531, , ,983,-83, , ,
1594783371561434679, , , , ,1053,-88,
1594783371568025328,,,,,,,884,-86, , , , ,
1594783371580012068,,,,,,, , , , ,1357,-82,
1594783371587778272, , ,1006,-81, , ,
1594783371594291253, , , , ,1058,-88,
1594783371600548420,,,,,,,922,-87, , , , ,
1594783371606654494,,,,,,, , , , ,1507,-83,
1594783371612741661, , ,1006,-81, , ,
1594783371623016920, , , , ,1077,-87,
1594783371630414865,,,,,,,1119,-84, , , , ,
1594783371636429402,,,,,,, , , , ,936,-86,
1594783371643989216, , ,988,-82, , ,
1594783371651242698, , , , ,1020,-87,
1594783371658218457,,,,,,,1081,-85, , , , ,
1594783371664871105,,,,,,, , , , ,1306,-83,
1594783371672486679, , ,1011,-81, , ,
1594783371679814642, , , , ,1039,-89,
1594783371686880161,,,,,,,1011,-88, , , , ,
1594783371694480513,,,,,,, , , , ,974,-86,
1594783371702059235, , ,969,-82, , ,
1594783371709594605, , , , ,1058,-90,
1594783371716656346,,,,,,,983,-87, , , , ,
1594783371724647716,,,,,,, , , , ,1643,-83,
1594783371733282179, , ,997,-82, , ,
1594783371740580753, , , , ,1034,-87,
1594783371749135068,,,,,,,1119,-83, , , , ,
1594783371757004494,,,,,,, , , , ,1366,-82,
1594783371765189290, , ,997,-82, , ,
1594783371771621864, , , , ,1053,-90,
1594783371782115809,,,,,,,1184,-83, , , , ,
1594783371788629735,,,,,,, , , , ,1311,-84,
1594783371796167087, , ,997,-82, , ,
1594783371802732605, , , , ,1058,-87,
1594783371808744494,,,,,,,880,-85, , , , ,
1594783371814932142,,,,,,, , , , ,1376,-84,
1594783371821193568, , ,997,-83, , ,
1594783371827232735, , , , ,1039,-87,
1594783371834170661,,,,,,,1212,-82, , , , ,
1594783371840794457,,,,,,, , , , ,1217,-85,
1594783371846853827, , ,1025,-82, , ,
1594783371853415901, , , , ,1044,-87,
1594783371859436105,,,,,,,848,-83, , , , ,
1594783371865602864,,,,,,, , , , ,1320,-84,
1594783371872812772, , ,992,-81, , ,
1594783371879683309, , , , ,1039,-87,
1594783371885452105,,,,,,,1240,-81, , , , ,
1594783371892154364,,,,,,, , , , ,1105,-84,
1594783371899113253, , ,1006,-83, , ,
1594783371906040587, , , , ,1039,-90,
1594783371912445901,,,,,,,1498,-83, , , , ,
1594783371918567957,,,,,,, , , , ,1128,-86,
1594783371924829013, , ,1020,-81, , ,
1594783371932173290, , , , ,1030,-91,
1594783371939055476,,,,,,,1207,-82, , , , ,
1594783371945007846,,,,,,, , , , ,1292,-84,
1594783371951776938, , ,964,-82, , ,
1594783371957670494, , , , ,1034,-89,
1594783371964444327,,,,,,,1301,-81, , , , ,
1594783371970390216,,,,,,, , , , ,1362,-83,
1594783371977106605, , ,974,-81, , ,
1594783371984597401, , , , ,1039,-88,
1594783371990558568,,,,,,,1311,-81, , , , ,
1594783371997137661,,,,,,, , , , ,1132,-83,
1594783372003202679, , ,1006,-83, , ,
1594783372010164920, , , , ,1058,-88,
1594783372016228661,,,,,,,1587,-82, , , , ,
