,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,0x6f61,
Timestamp (ns),Accel_x (mg), Accel_y (mg), Accel_z (mg),Gyro_x (deg/s), Gyro_y (deg/s), Gyro_z (deg/s),Mag_x (uT), Mag_y (uT), Mag_z (uT),Quat_w, Quat_x, Quat_y, Quat_z,Pressure (Pa),Range to 0x6a25 (mm),RSS to 0x6a25 (dB),
1594840089882164912,23.0,-61.0,960.0,0.125,0.0625,-0.0625,24.375,11.25,-71.375,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.75,131072,0,
1594840089914718860,22.0,-63.0,963.0,0.125,0.125,0.0,25.0625,10.5625,-71.375,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.75,131072,0,
1594840089948177145,22.0,-63.0,960.0,-0.0625,0.0625,-0.125,25.0625,10.875,-73.0625,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.75,131072,0,
1594840089988148536,22.0,-64.0,959.0,0.125,0.125,-0.125,25.0625,10.875,-73.0625,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.75,131072,0,
1594840090020194756,22.0,-63.0,960.0,0.0,-0.125,0.125,24.75,11.25,-72.25,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.75,131072,0,
1594840090052466250,21.0,-63.0,960.0,0.0,0.0,0.0625,24.75,11.25,-72.25,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.75,131072,0,
1594840090084063162,22.0,-62.0,964.0,0.0625,-0.125,-0.125,24.75,11.25,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.75,131072,0,
1594840090118127510,24.0,-63.0,963.0,0.0625,-0.0625,-0.0625,24.375,11.25,-73.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.75,131072,0,
1594840090150616515,25.0,-63.0,962.0,0.0,0.125,0.0,24.375,11.25,-73.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.75,131072,0,
1594840090184196773,23.0,-63.0,958.0,0.0625,0.125,-0.0625,24.75,10.875,-73.0625,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.25,131072,0,
1594840090218746035,23.0,-65.0,961.0,0.125,0.0,0.0625,24.75,10.875,-72.25,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.25,131072,0,
1594840090252541949,22.0,-63.0,959.0,0.1875,0.25,0.0,25.0625,10.5625,-72.25,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.25,131072,0,
1594840090289623000,22.0,-64.0,961.0,-0.0625,0.0,0.0,25.0625,10.5625,-72.25,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.25,131072,0,
1594840090327813416,22.0,-62.0,961.0,0.0,-0.0625,0.0625,24.75,10.875,-73.0625,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.25, , ,
1594840090361518740,22.0,-63.0,961.0,0.0625,0.0625,0.0,25.0625,10.875,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.25,131072,0,
1594840090395406128,22.0,-64.0,962.0,0.125,0.0,-0.0625,25.0625,10.875,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.25,131072,0,
1594840090428175310,25.0,-61.0,961.0,0.0,0.0,0.0,25.75,10.875,-72.25,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.25,131072,0,
1594840090462607046,22.0,-63.0,960.0,0.0625,-0.1875,0.0,25.75,11.25,-71.375,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.25,131072,0,
1594840090496816331,24.0,-63.0,961.0,0.0625,0.0625,0.0,25.75,11.25,-71.375,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.25,131072,0,
1594840090531216368,23.0,-63.0,959.0,0.1875,0.125,0.0625,24.75,10.5625,-72.25,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.25,131072,0,
1594840090565189058,22.0,-63.0,963.0,0.125,0.0,0.0,25.75,11.25,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.0,131072,0,
1594840090598879116,23.0,-62.0,961.0,0.0625,-0.1875,0.0625,25.75,11.25,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.0,131072,0,
1594840090631901733,24.0,-60.0,963.0,0.125,0.125,0.0625,25.375,10.875,-73.0625,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.0,131072,0,
1594840090666205727,22.0,-62.0,960.0,0.0625,-0.0625,0.0625,25.0625,11.6875,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.0,131072,0,
1594840090698720843,22.0,-63.0,960.0,-0.125,0.0625,0.125,25.0625,11.6875,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.0,131072,0,
1594840090731477112,24.0,-60.0,960.0,-0.0625,-0.125,0.125,24.375,10.875,-71.5,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.0,131072,0,
1594840090764710840,24.0,-64.0,960.0,-0.25,-0.125,0.0,25.375,10.5625,-71.5,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.0,131072,0,
1594840090798664232,21.0,-65.0,961.0,0.125,-0.0625,0.0625,25.375,10.5625,-71.5,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.0,131072,0,
1594840090831067842,23.0,-62.0,958.0,0.0625,-0.0625,0.0625,25.375,11.25,-72.25,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.0,131072,0,
1594840090864863971,22.0,-64.0,958.0,0.0,0.0,-0.0625,24.75,10.875,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.0,131072,0,
1594840090897465860,23.0,-61.0,960.0,-0.125,0.3125,0.0,24.75,10.875,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101664.0,131072,0,
1594840090935195341,22.0,-63.0,966.0,0.1875,-0.0625,-0.0625,24.75,10.875,-72.25,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840090971332382,24.0,-63.0,959.0,0.0,0.0625,-0.125,25.75,10.1875,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840091003868073,22.0,-64.0,960.0,0.0,-0.0625,0.0,25.0625,11.6875,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840091037322649,25.0,-64.0,962.0,0.0625,-0.25,0.0625,25.0625,11.6875,-71.875,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
1594840091070697187,22.0,-66.0,962.0,0.125,0.0625,0.0,25.375,10.875,-72.25,0.999258301630135,-0.03259247086919693,-0.020507622119944134,0.00012206917928538175,101663.5,131072,0,
